Date,ASIANPAINT.csv,AXISBANK.csv,BAJAJFINSV.csv,BAJFINANCE.csv,BHARTIARTL.csv,HCLTECH.csv,HDFCBANK.csv,HINDUNILVR.csv,ICICIBANK.csv,INDUSINDBK.csv,INFY.csv,ITC.csv,JSWSTEEL.csv,KOTAKBANK.csv,LT.csv,M&M.csv,MARUTI.csv,NESTLEIND.csv,NTPC.csv,POWERGRID.csv,RELIANCE.csv,SBIN.csv,SUNPHARMA.csv,TATAMOTORS.csv,TATASTEEL.csv,TCS.csv,TECHM.csv,TITAN.csv,ULTRACEMCO.csv,WIPRO.csv
16-04-2019,1455.849976,770.650024,758.530029,3031.399902,348.649994,553.349976,1152.375,1738.400024,406.799988,1815.849976,723.849976,307.049988,291.649994,1385.949951,1382.5,687.25,7464.350098,1113.125,137.399994,110.728127,1345.300049,315.799988,462.299988,230.550003,55.264999,2132.449951,797.099976,1122.199951,4254,281.100006
18-04-2019,1465.349976,771.200012,756.585022,3013.800049,346.75,550.174988,1145.074951,1737.449951,404.899994,1764,716.400024,304.350006,298.950012,1376.699951,1360.75,683.400024,7441.100098,1095.27002,135.399994,109.237503,1382.900024,310.899994,462.100006,235.899994,54.285,2145.5,799.349976,1125.75,4250.549805,284.799988
22-04-2019,1443.25,755.400024,748.255005,2991.449951,349.850006,550.174988,1134.125,1739.75,394.600006,1691.449951,720.599976,301.700012,291.299988,1360.349976,1358.849976,671.950012,7305.450195,1090.984985,135.75,109.462502,1344.800049,310,454.5,234.649994,53.529999,2164.350098,803.599976,1121.900024,4205,288.25
23-04-2019,1431.300049,753.099976,750.099976,3035.5,316.200012,551.5,1122.824951,1740.800049,396.350006,1654.599976,727.849976,303.350006,288.399994,1359,1348.050049,664.299988,7042.649902,1092.280029,133.699997,108.421875,1363.300049,305.649994,468.5,231.399994,52.380001,2157.699951,803.799988,1127.849976,4203.649902,291.299988
24-04-2019,1449.150024,752.599976,764.734985,3092,324.5,570.25,1139.75,1752.75,401.049988,1700.150024,736.400024,306.450012,292.5,1370,1360.349976,668,7024.350098,1083.234985,133.800003,107.971878,1390,310.700012,469.149994,223.699997,52.529999,2185.449951,818.599976,1147.550049,4396.450195,293.100006
25-04-2019,1448.25,740.849976,765.974976,3080.550049,327.950012,565.575012,1132.425049,1732.150024,395.350006,1683.199951,728.75,304.5,286.950012,1365,1355.349976,663.950012,6902.950195,1088.015015,133.300003,107.606247,1374.550049,306.299988,461.149994,221.699997,51.09,2191.699951,814.700012,1141.050049,4619.950195,295.25
26-04-2019,1448.050049,760.200012,771.799988,3091.399902,324.600006,568.900024,1137.625,1743.75,407.399994,1696.050049,737.099976,304.649994,293.850006,1378.050049,1355.5,657.700012,6832.149902,1097.005005,134.100006,107.324997,1391.449951,312.299988,463.850006,215.399994,54.5,2238.300049,823,1138.150024,4613.450195,294.350006
30-04-2019,1463,766.900024,753.200012,3094.25,320.200012,591.674988,1157.75,1753.949951,407.75,1607.699951,749.950012,301.549988,307.899994,1387.050049,1347.75,645.450012,6658.700195,1090.319946,133.649994,104.793747,1391.800049,310.200012,456.950012,214.199997,55.645,2254.949951,834.700012,1156.150024,4618.950195,298.399994
02-05-2019,1437.849976,752.650024,756.515015,3129.149902,324.700012,579.950012,1176.974976,1728.050049,394.600006,1562.599976,729.849976,304.649994,306.850006,1407.699951,1358.949951,644.5,6668.350098,1060.405029,133.350006,106.875,1405.099976,307.450012,451.450012,207.149994,55.485001,2214.399902,834.549988,1138.25,4623.399902,293.549988
03-05-2019,1437.75,757.400024,761.559998,3109.25,331.100006,571.825012,1184.400024,1692.800049,401.850006,1559,723.75,303.600006,308.600006,1418.150024,1361,646.549988,6710.899902,1050.189941,135.550003,107.099998,1407.050049,309.149994,452.899994,209.5,54.759998,2132.5,816.549988,1145.550049,4573.350098,291
06-05-2019,1414.900024,747.549988,764.549988,3036.800049,333.399994,568.025024,1164.199951,1672.349976,401.399994,1527.349976,717.849976,307,297.25,1411.949951,1351.25,638.599976,6710.149902,1038.880005,134.949997,106.875,1384.849976,308.700012,453.299988,200.100006,53.555,2154.699951,819.150024,1081.800049,4517.600098,290.899994
07-05-2019,1387.650024,742.549988,755.380005,3019.25,324.350006,563.375,1163.724976,1695.25,386.25,1514.949951,723.549988,302.350006,288.700012,1406.099976,1366.650024,636,6698.5,1047.185059,133.949997,107.775002,1344.550049,305.850006,446.899994,190.899994,53.064999,2150.350098,814.450012,1085.849976,4527.75,293.700012
08-05-2019,1387.599976,735.5,735.005005,2921.899902,323.75,566.099976,1154.324951,1684.849976,381.850006,1487.599976,718.099976,300.75,289.350006,1403.550049,1361.199951,623.700012,6631.75,1030.555054,131,106.621872,1299.449951,298.100006,438.850006,185.550003,52.349998,2152.649902,802.349976,1088.349976,4510.649902,290.799988
09-05-2019,1355.800049,730,746.02002,2969.850098,315.700012,566.049988,1145.599976,1699.449951,381.450012,1476.650024,721.049988,299.799988,285.149994,1389.25,1356.699951,625.799988,6625.25,1035.73999,127.949997,105.721878,1255.150024,299.25,438.25,185.800003,51.895,2168.699951,809.5,1100.449951,4481.350098,291
